═══════════════════════════════════════════════════════════════════════════════════
  GHEG (KOSOVO-ALBANISCH) BEISPILLSÄTZE — LEVEL 4 bis 6 (MITTELSTUFE)
  Dialekt: Gheg (Kosovo-Variante) — ~333 Sätze
  Format: Level | # | Gheg (Kosovo) | Deutsch
═══════════════════════════════════════════════════════════════════════════════════


═══════════════════════════════════════════════════════════════════════════════════
  LEVEL 4 — VERGANGENHEIT, ZUKUNFT, ARBEIT/BERUFE, BILDUNG/SCHULE
  (~111 Sätze)
═══════════════════════════════════════════════════════════════════════════════════

Level 4 | 1 | Dje kam shkue n'shkollë. | Gestern bin ich zur Schule gegangen.
Level 4 | 2 | Nesër do të shof mjekun. | Morgen werde ich den Arzt sehen.
Level 4 | 3 | Sot kam ba detyrat e shpisë. | Heute habe ich die Hausaufgaben gemacht.
Level 4 | 4 | Pastaj kemi shkue n'treg me blejtë bukë. | Danach sind wir zum Markt gegangen, um Brot zu kaufen.
Level 4 | 5 | Dje kam punu gjithë ditën n'zyrë. | Gestern habe ich den ganzen Tag im Büro gearbeitet.
Level 4 | 6 | Tash do të shkoj n'palester me ushtrue. | Jetzt werde ich ins Fitnessstudio gehen, um zu trainieren.
Level 4 | 7 | Nana ka gatu fli për mëngjes. | Mama hat Flia zum Frühstück gekocht.
Level 4 | 8 | Nesër do të kem provimin e matematikës. | Morgen werde ich die Matheprüfung haben.
Level 4 | 9 | Dje mësuesi ka shpjegue mësimin e ri. | Gestern hat der Lehrer die neue Lektion erklärt.
Level 4 | 10 | Kam punu si kuzhinier për tri vjet. | Ich habe drei Jahre lang als Koch gearbeitet.
Level 4 | 11 | A je nisë tash për n'punë? | Bist du jetzt zur Arbeit aufgebrochen?
Level 4 | 12 | Motra ka mbarue shkollën e mesme. | Meine Schwester hat die Mittelschule abgeschlossen.
Level 4 | 13 | Dje kam pa një film shumë të mirë. | Gestern habe ich einen sehr guten Film gesehen.
Level 4 | 14 | Nesër do të filloj punën e re. | Morgen werde ich die neue Arbeit beginnen.
Level 4 | 15 | Babi ka punu si mësues për njëzet vjet. | Papa hat zwanzig Jahre als Lehrer gearbeitet.
Level 4 | 16 | Tash po shkoj n'bibliotekë me studjue. | Jetzt gehe ich in die Bibliothek, um zu studieren.
Level 4 | 17 | Dje nxënësit kanë ba nje provim të vështirë. | Gestern haben die Schüler eine schwierige Prüfung gemacht.
Level 4 | 18 | Sot kam ardhë herët n'punë. | Heute bin ich früh zur Arbeit gekommen.
Level 4 | 19 | Nesër do të takoj shefin n'zyrë. | Morgen werde ich den Chef im Büro treffen.
Level 4 | 20 | Kam shkue n'universitet për tri vjet. | Ich bin drei Jahre zur Universität gegangen.
Level 4 | 21 | Dje kemi ba nji projekt të madh n'shkollë. | Gestern haben wir ein großes Projekt in der Schule gemacht.
Level 4 | 22 | A ke pa mjekun dje? | Hast du gestern den Arzt gesehen?
Level 4 | 23 | Pastaj do të ha darkë me familje. | Danach werde ich Abendessen mit der Familie essen.
Level 4 | 24 | Vllai ka fillue punën si inxhinier. | Mein Bruder hat die Arbeit als Ingenieur begonnen.
