═══════════════════════════════════════════════════════════════════════════════════
KOSOVO-ALBANISCH (GHEG) BEISPIELSÄTZE — LEVEL 1–3
Für Deutschsprachige Lernende — Kosovo-Dialekt
═══════════════════════════════════════════════════════════════════════════════════
Format: Level | # | Gheg (Kosovo) | Deutsch
═══════════════════════════════════════════════════════════════════════════════════

═══════════════════════════════════════════════════════════════════════════════════
LEVEL 1 — EINSTEIGER (112 Sätze)
Nur einzelne Wörter, 2–3-Wort-Sätze, Grüße, Grundfragen.
Verben: jom, asht, jan, kam, dua. Keine Nebensätze.
═══════════════════════════════════════════════════════════════════════════════════

1 | 1 | Tung! | Hallo!
1 | 2 | Mirëdita! | Guten Tag!
1 | 3 | Tung mbrëma! | Guten Abend!
1 | 4 | Naten e mirë! | Gute Nacht!
1 | 5 | Shëndet! | Tschüss! / Gesundheit!
1 | 6 | Hajt! | Tschüss! / Los!
1 | 7 | Mirupafshim! | Auf Wiedersehen!
1 | 8 | Po. | Ja.
1 | 9 | Jo. | Nein.
1 | 10 | Mirë. | Gut.
1 | 11 | Keq. | Schlecht.
1 | 12 | Faleminderit! | Danke!
1 | 13 | Të lutem! | Bitte!
1 | 14 | Më fal! | Entschuldigung!
1 | 15 | S'ka problem. | Kein Problem.
1 | 16 | Un jam Gjon. | Ich bin Gjon.
1 | 17 | Un jam Ana. | Ich bin Ana.
1 | 18 | Ti je miku. | Du bist der Freund.
1 | 19 | Ai asht mjek. | Er ist Arzt.
1 | 20 | Ajo asht mësuesë. | Sie ist Lehrerin.
1 | 21 | Qysh je? | Wie geht's?
1 | 22 | Jam mirë. | Mir geht's gut.
1 | 23 | Qysh po quhesh? | Wie heißt du?
1 | 24 | Prej kah je? | Woher bist du?
1 | 25 | Jam prej Kosove. | Ich bin aus dem Kosovo.
1 | 26 | Kah je? | Wo bist du?
1 | 27 | Jam qitu. | Ich bin hier.
1 | 28 | Kush asht ai? | Wer ist er?
1 | 29 | Kush asht ajo? | Wer ist sie?
1 | 30 | Çka asht kjo? | Was ist das?
1 | 31 | Kjo asht nana. | Das ist Mama.
1 | 32 | Ky asht babi. | Das ist Papa.
1 | 33 | Çka asht ai? | Was ist das?
1 | 34 | A je mirë? | Geht's dir gut?
1 | 35 | Po, jam mirë. | Ja, mir geht's gut.
1 | 36 | Sa vjet je? | Wie alt bist du?
1 | 37 | Jam pesë vjet. | Ich bin fünf Jahre alt.
1 | 38 | A po don ujë? | Willst du Wasser?
1 | 39 | Po, dua. | Ja, ich will.
1 | 40 | Jo, s'dua. | Nein, ich will nicht.
1 | 41 | Un kam nji vlla. | Ich habe einen Bruder.
1 | 42 | Un kam nji motër. | Ich habe eine Schwester.
1 | 43 | Ajo ka nji macë. | Sie hat eine Katze.
1 | 44 | Ai ka nji qen. | Er hat einen Hund.
1 | 45 | Nana asht këtu. | Mama ist hier.
1 | 46 | Babi asht atje. | Papa ist dort.
1 | 47 | Un kam uri. | Ich habe Hunger.
1 | 48 | Un kam etje. | Ich habe Durst.
1 | 49 | Kjo asht shpi. | Das ist ein Haus.
1 | 50 | Kjo asht bukë. | Das ist Brot.
1 | 51 | Ky asht djathë. | Das ist Käse.
