═══ GHEG (KOSOVO-ALBANISCH) LERNSÄTZE ═══
  1012 Sätze in 9 Schwierigkeitsstufen
  Format: L# | ### | Gheg (Kosovo) | Deutsch
  Dialekt: Kosovo-Gheg (Shqip gegë / kosovar)

══════════════════════════════════════════════════
LEVEL 1 — EINSTEIGER — Einzelwörter, Grüße, 2–3-Wort-Sätze
112 Sätze
══════════════════════════════════════════════════

L1 | 001 | Tung! | Hallo!
L1 | 002 | Mirëdita! | Guten Tag!
L1 | 003 | Tung mbrëma! | Guten Abend!
L1 | 004 | Naten e mirë! | Gute Nacht!
L1 | 005 | Shëndet! | Tschüss! / Gesundheit!
L1 | 006 | Hajt! | Tschüss! / Los!
L1 | 007 | Mirupafshim! | Auf Wiedersehen!
L1 | 008 | Po. | Ja.
L1 | 009 | Jo. | Nein.
L1 | 010 | Mirë. | Gut.
L1 | 011 | Keq. | Schlecht.
L1 | 012 | Faleminderit! | Danke!
L1 | 013 | Të lutem! | Bitte!
L1 | 014 | Më fal! | Entschuldigung!
L1 | 015 | S'ka problem. | Kein Problem.
L1 | 016 | Un jam Gjon. | Ich bin Gjon.
L1 | 017 | Un jam Ana. | Ich bin Ana.
L1 | 018 | Ti je miku. | Du bist der Freund.
L1 | 019 | Ai asht mjek. | Er ist Arzt.
L1 | 020 | Ajo asht mësuesë. | Sie ist Lehrerin.
L1 | 021 | Qysh je? | Wie geht's?
L1 | 022 | Jam mirë. | Mir geht's gut.
L1 | 023 | Qysh po quhesh? | Wie heißt du?
L1 | 024 | Prej kah je? | Woher bist du?
L1 | 025 | Jam prej Kosove. | Ich bin aus dem Kosovo.
L1 | 026 | Kah je? | Wo bist du?
L1 | 027 | Jam qitu. | Ich bin hier.
L1 | 028 | Kush asht ai? | Wer ist er?
L1 | 029 | Kush asht ajo? | Wer ist sie?
L1 | 030 | Çka asht kjo? | Was ist das?
L1 | 031 | Kjo asht nana. | Das ist Mama.
L1 | 032 | Ky asht babi. | Das ist Papa.
L1 | 033 | Çka asht ai? | Was ist das?
L1 | 034 | A je mirë? | Geht's dir gut?
L1 | 035 | Po, jam mirë. | Ja, mir geht's gut.
